Model	k	Method	Error	Coverage	AveragePrecision	AverageRecall	AverageF1	WeightedAverageF1
counts	35	coverage	0.01	20	0.926944444444444	0.926944444444444	0.926944444444444	0.926944444444444
counts	35	mean	0	20	0.937222222222222	0.937222222222222	0.937222222222222	0.937222222222222
counts	35	mean	0.001	20	0.938333333333333	0.938333333333333	0.938333333333333	0.938333333333333
counts	35	mean	0.01	20	0.920555555555556	0.920555555555556	0.920555555555556	0.920555555555556
counts	35	median	0	20	0.941944444444444	0.941944444444444	0.941944444444444	0.941944444444444
counts	35	median	0.001	20	0.931666666666667	0.931666666666667	0.931666666666667	0.931666666666667
counts	35	median	0.01	20	0.918611111111111	0.918611111111111	0.918611111111111	0.918611111111111
counts	39	coverage	0	20	0.946388888888889	0.946388888888889	0.946388888888889	0.946388888888889
counts	39	coverage	0.001	20	0.945	0.945	0.945	0.945
counts	39	coverage	0.01	20	0.926388888888889	0.926388888888889	0.926388888888889	0.926388888888889
counts	39	mean	0	20	0.943888888888889	0.943888888888889	0.943888888888889	0.943888888888889
counts	39	mean	0.001	20	0.941944444444444	0.941944444444444	0.941944444444444	0.941944444444444
counts	39	mean	0.01	20	0.923611111111111	0.923611111111111	0.923611111111111	0.923611111111111
counts	39	median	0	20	0.939444444444444	0.939444444444444	0.939444444444444	0.939444444444444
counts	39	median	0.001	20	0.945555555555556	0.945555555555556	0.945555555555556	0.945555555555556
counts	39	median	0.01	20	0.915833333333333	0.915833333333333	0.915833333333333	0.915833333333333
counts	43	coverage	0	20	0.949722222222222	0.949722222222222	0.949722222222222	0.949722222222222
counts	43	coverage	0.001	20	0.947222222222222	0.947222222222222	0.947222222222222	0.947222222222222
counts	43	coverage	0.01	20	0.926944444444444	0.926944444444444	0.926944444444444	0.926944444444444
counts	43	mean	0	20	0.946388888888889	0.946388888888889	0.946388888888889	0.946388888888889
counts	43	mean	0.001	20	0.945	0.945	0.945	0.945
counts	43	mean	0.01	20	0.924166666666667	0.924166666666667	0.924166666666667	0.924166666666667
