k	Method	Error	Coverage	AveragePrecision	AverageRecall	AverageF1	WeightedAverageF1
47	coverage	0	20	0.427692009375682	0.432477477477478	0.429835868438921	0.429835868438921
47	coverage	0.001	20	0.418121120600423	0.422822822822823	0.420235441415079	0.420235441415079
47	coverage	0.01	20	0.321245940080686	0.324489489489489	0.322752935275951	0.322752935275951
47	mean	0	20	0.421703395731683	0.426426426426426	0.423819552934703	0.423819552934703
47	mean	0.001	20	0.413074701064496	0.417627627627628	0.415126120488681	0.415126120488681
47	mean	0.01	20	0.317213393475002	0.320405405405405	0.318700430739308	0.318700430739308
47	median	0	20	0.423628761784727	0.428453453453453	0.425784968315079	0.425784968315079
47	median	0.001	20	0.409654437514242	0.414279279279279	0.411737665717283	0.411737665717283
47	median	0.01	20	0.30402590661792	0.306816816816817	0.305335502428575	0.305335502428575
51	coverage	0	20	0.432817859222258	0.437792792792793	0.435049389776096	0.435049389776096
51	coverage	0.001	20	0.422194971512434	0.426921921921922	0.424318975394048	0.424318975394048
51	coverage	0.01	20	0.310111533119231	0.313153153153153	0.311533969250194	0.311533969250194
51	mean	0	20	0.427974597726861	0.432792792792793	0.430135111795332	0.430135111795332
51	mean	0.001	20	0.417129486500865	0.421741741741742	0.4192063359753	0.4192063359753
51	mean	0.01	20	0.306880788696236	0.309894894894895	0.308292856730597	0.308292856730597
51	median	0	20	0.432817859222258	0.437792792792793	0.435049389776096	0.435049389776096
51	median	0.001	20	0.393927350738047	0.398213213213213	0.395854156582509	0.395854156582509
51	median	0.01	20	0.310398454300264	0.313423423423423	0.311811900226411	0.311811900226411
55	coverage	0	20	0.450040378078245	0.453873873873874	0.451770288112938	0.451770288112938
55	coverage	0.001	20	0.43761856001417	0.441366366366366	0.439302923527604	0.439302923527604
55	coverage	0.01	20	0.307267555108431	0.309354354354354	0.308255155063209	0.308255155063209
55	mean	0	20	0.445836948431045	0.449564564564565	0.447518147206492	0.447518147206492
55	mean	0.001	20	0.432908181528221	0.436531531531532	0.434538795549824	0.434538795549824
55	mean	0.01	20	0.30402943321316	0.306066066066066	0.304996460983455	0.304996460983455
55	median	0	20	0.444987449917818	0.448663663663664	0.446650262097905	0.446650262097905
55	median	0.001	20	0.417603537700349	0.421021021021021	0.419154144255478	0.419154144255478
55	median	0.01	20	0.28902717690736	0.290885885885886	0.28991249148491	0.28991249148491
59	coverage	0	20	0.467898979491799	0.471981981981982	0.469734906301219	0.469734906301219
59	coverage	0.001	20	0.454060761754345	0.457897897897898	0.455789386198788	0.455789386198788
59	coverage	0.01	20	0.302464372493679	0.304429429429429	0.303395732946396	0.303395732946396
59	mean	0	20	0.463740511827921	0.467702702702703	0.465522767678615	0.465522767678615
59	mean	0.001	20	0.449696941652816	0.453453453453453	0.451388608685216	0.451388608685216
59	mean	0.01	20	0.299522067273069	0.301471471471471	0.300448039947212	0.300448039947212
59	median	0	20	0.451078272278337	0.45484984984985	0.452776993616025	0.452776993616025
59	median	0.001	20	0.455393340634816	0.459264264264264	0.457135162917378	0.457135162917378
59	median	0.01	20	0.240850307437846	0.242387387387387	0.241590211499573	0.241590211499573
63	coverage	0	20	0.484877969123538	0.488363363363363	0.486473187053784	0.486473187053784
63	coverage	0.001	20	0.469610307510827	0.472942942942943	0.471143548263905	0.471143548263905
63	coverage	0.01	20	0.294120036228493	0.295810810810811	0.294925132263209	0.294925132263209
63	mean	0	20	0.481108801259467	0.484534534534535	0.482682212017383	0.482682212017383
63	mean	0.001	20	0.465164027393931	0.468378378378378	0.466648943498675	0.466648943498675
63	mean	0.01	20	0.291198941620475	0.292882882882883	0.292002190700753	0.292002190700753
63	median	0	20	0.432779485980415	0.43515015015015	0.433874478749025	0.433874478749025
63	median	0.001	20	0.464790318996601	0.468018018018018	0.466278068482445	0.466278068482445
63	median	0.01	20	0.29267996779751	0.294354354354354	0.293479262770568	0.293479262770568
67	coverage	0	20	0.503670970061679	0.507657657657658	0.505477880408362	0.505477880408362
67	coverage	0.001	20	0.485775914414648	0.48960960960961	0.487529509764726	0.487529509764726
67	coverage	0.01	20	0.282149771401165	0.283918918918919	0.282995068437386	0.282995068437386
67	mean	0	20	0.500021825612336	0.503963963963964	0.501808238954474	0.501808238954474
67	mean	0.001	20	0.481840131567296	0.485600600600601	0.48356610186767	0.48356610186767
67	mean	0.01	20	0.279765870554668	0.281456456456456	0.280577016558749	0.280577016558749
67	median	0	20	0.50308365344307	0.507162162162162	0.504929341027509	0.504929341027509
67	median	0.001	20	0.463836237593243	0.467177177177177	0.465374017520329	0.465374017520329
67	median	0.01	20	0.203216011649573	0.203978978978979	0.203588605673818	0.203588605673818
71	coverage	0	20	0.513115779821756	0.517567567567568	0.515112485552515	0.515112485552515
71	coverage	0.001	20	0.492918421078487	0.497387387387387	0.494949109030361	0.494949109030361
71	coverage	0.01	20	0.256289600489845	0.257852852852853	0.25704265836175	0.25704265836175
71	mean	0	20	0.509783052432833	0.514234234234234	0.511785762194336	0.511785762194336
71	mean	0.001	20	0.489199151951815	0.493468468468468	0.491143845577628	0.491143845577628
71	mean	0.01	20	0.253424906505506	0.255	0.254183499856523	0.254183499856523
71	median	0	20	0.513115779821756	0.517567567567568	0.515112485552515	0.515112485552515
71	median	0.001	20	0.422283999347353	0.42509009009009	0.423594870724457	0.423594870724457
71	median	0.01	20	0.259788493804427	0.261321321321321	0.260524329322017	0.260524329322017
75	coverage	0	20	0.519157232603627	0.523063063063063	0.52091239832734	0.52091239832734
75	coverage	0.001	20	0.4950791193057	0.498888888888889	0.496797002626236	0.496797002626236
75	coverage	0.01	20	0.211029258141186	0.211816816816817	0.21141299154785	0.21141299154785
75	mean	0	20	0.516084593348516	0.519954954954955	0.517827953215035	0.517827953215035
75	mean	0.001	20	0.492054106463182	0.495750750750751	0.493724269478642	0.493724269478642
75	mean	0.01	20	0.209677980762977	0.210495495495496	0.210075604464206	0.210075604464206
75	median	0	20	0.508358634424762	0.511786786786787	0.509912483528171	0.509912483528171
75	median	0.001	20	0.49493705836853	0.498633633633634	0.496611729060181	0.496611729060181
75	median	0.01	20	0.0905092305436033	0.0909009009009009	0.0907024194733131	0.0907024194733131
79	coverage	0	20	0.513405265799195	0.517762762762763	0.515364898811358	0.515364898811358
79	coverage	0.001	20	0.485206922151827	0.489219219219219	0.487025455585367	0.487025455585367
79	coverage	0.01	20	0.12477425588697	0.12512012012012	0.124945144361342	0.124945144361342
79	mean	0	20	0.510875959336402	0.51512012012012	0.512785383223451	0.512785383223451
79	mean	0.001	20	0.482078846570939	0.485930930930931	0.483828844808896	0.483828844808896
79	mean	0.01	20	0.125264756839784	0.125615615615616	0.125438007968796	0.125438007968796
79	median	0	20	0.465936305352484	0.468858858858859	0.467286803557672	0.467286803557672
79	median	0.001	20	0.4810679331311	0.48493993993994	0.482830213313915	0.482830213313915
79	median	0.01	20	0.128212664238826	0.129474474474474	0.128829122310507	0.128829122310507
83	coverage	0	20	0.494804947239203	0.499129129129129	0.496752695598664	0.496752695598664
83	coverage	0.001	20	0.458650097108389	0.462582582582583	0.460453345595793	0.460453345595793
