k	Method	Error	Coverage	AveragePrecision	AverageRecall	AverageF1	WeightedAverageF1
63	mean	0.01	20	0.929166666666667	0.929166666666667	0.929166666666667	0.929166666666667
63	median	0	20	0.956388888888889	0.956388888888889	0.956388888888889	0.956388888888889
63	median	0.001	20	0.966388888888889	0.966388888888889	0.966388888888889	0.966388888888889
63	median	0.01	20	0.930277777777778	0.930277777777778	0.930277777777778	0.930277777777778
67	coverage	0	20	0.973055555555556	0.973055555555556	0.973055555555556	0.973055555555556
67	coverage	0.001	20	0.971944444444444	0.971944444444444	0.971944444444444	0.971944444444444
67	coverage	0.01	20	0.93	0.93	0.93	0.93
67	mean	0	20	0.972222222222222	0.972222222222222	0.972222222222222	0.972222222222222
67	mean	0.001	20	0.970277777777778	0.970277777777778	0.970277777777778	0.970277777777778
67	mean	0.01	20	0.928611111111111	0.928611111111111	0.928611111111111	0.928611111111111
67	median	0	20	0.971388888888889	0.971388888888889	0.971388888888889	0.971388888888889
67	median	0.001	20	0.967777777777778	0.967777777777778	0.967777777777778	0.967777777777778
67	median	0.01	20	0.896111111111111	0.896111111111111	0.896111111111111	0.896111111111111
71	coverage	0	20	0.976944444444444	0.976944444444444	0.976944444444444	0.976944444444444
71	coverage	0.001	20	0.973333333333333	0.973333333333333	0.973333333333333	0.973333333333333
71	coverage	0.01	20	0.9225	0.9225	0.9225	0.9225
71	mean	0	20	0.975	0.975	0.975	0.975
71	mean	0.001	20	0.971666666666667	0.971666666666667	0.971666666666667	0.971666666666667
71	mean	0.01	20	0.920833333333333	0.920833333333333	0.920833333333333	0.920833333333333
71	median	0	20	0.976944444444444	0.976944444444444	0.976944444444444	0.976944444444444
71	median	0.001	20	0.955833333333333	0.955833333333333	0.955833333333333	0.955833333333333
71	median	0.01	20	0.9225	0.9225	0.9225	0.9225
75	coverage	0	20	0.979166666666667	0.979166666666667	0.979166666666667	0.979166666666667
75	coverage	0.001	20	0.974166666666667	0.974166666666667	0.974166666666667	0.974166666666667
75	coverage	0.01	20	0.913055555555556	0.913055555555556	0.913055555555556	0.913055555555556
75	mean	0	20	0.9775	0.9775	0.9775	0.9775
75	mean	0.001	20	0.9725	0.9725	0.9725	0.9725
75	mean	0.01	20	0.911388888888889	0.911388888888889	0.911388888888889	0.911388888888889
75	median	0	20	0.978888888888889	0.978888888888889	0.978888888888889	0.978888888888889
75	median	0.001	20	0.973055555555556	0.973055555555556	0.973055555555556	0.973055555555556
75	median	0.01	20	0.858055555555556	0.858055555555556	0.858055555555556	0.858055555555556
79	coverage	0	20	0.979166666666667	0.979166666666667	0.979166666666667	0.979166666666667
79	coverage	0.001	20	0.974166666666667	0.974166666666667	0.974166666666667	0.974166666666667
79	coverage	0.01	20	0.895833333333333	0.895833333333333	0.895833333333333	0.895833333333333
79	mean	0	20	0.977777777777778	0.977777777777778	0.977777777777778	0.977777777777778
79	mean	0.001	20	0.974166666666667	0.974166666666667	0.974166666666667	0.974166666666667
79	mean	0.01	20	0.896111111111111	0.896111111111111	0.896111111111111	0.896111111111111
79	median	0	20	0.9725	0.9725	0.9725	0.9725
79	median	0.001	20	0.974722222222222	0.974722222222222	0.974722222222222	0.974722222222222
79	median	0.01	20	0.896666666666667	0.896666666666667	0.896666666666667	0.896666666666667
83	coverage	0	20	0.979444444444444	0.979444444444444	0.979444444444444	0.979444444444444
83	coverage	0.001	20	0.974444444444444	0.974444444444444	0.974444444444444	0.974444444444444
83	coverage	0.01	20	0.855555555555556	0.855555555555556	0.855555555555556	0.855555555555556
83	mean	0	20	0.976666666666667	0.976666666666667	0.976666666666667	0.976666666666667
83	mean	0.001	20	0.972222222222222	0.972222222222222	0.972222222222222	0.972222222222222
83	mean	0.01	20	0.852777777777778	0.852777777777778	0.852777777777778	0.852777777777778
83	median	0	20	0.954166666666667	0.954166666666667	0.954166666666667	0.954166666666667
83	median	0.001	20	0.9675	0.9675	0.9675	0.9675
83	median	0.01	20	0.204295710060229	0.206111111111111	0.205144812200159	0.205144812200159
87	coverage	0	20	0.974722222222222	0.974722222222222	0.974722222222222	0.974722222222222
87	coverage	0.001	20	0.968333333333333	0.968333333333333	0.968333333333333	0.968333333333333
87	coverage	0.01	20	0.735833333333333	0.735833333333333	0.735833333333333	0.735833333333333
87	mean	0	20	0.973888888888889	0.973888888888889	0.973888888888889	0.973888888888889
87	mean	0.001	20	0.9675	0.9675	0.9675	0.9675
87	mean	0.01	20	0.733055555555556	0.733055555555556	0.733055555555556	0.733055555555556
87	median	0	20	0.963888888888889	0.963888888888889	0.963888888888889	0.963888888888889
87	median	0.001	20	0.922222222222222	0.922222222222222	0.922222222222222	0.922222222222222
87	median	0.01	20	0.327329416628147	0.366944444444444	0.344000265800811	0.344000265800811
91	coverage	0	20	0.961944444444444	0.961944444444444	0.961944444444444	0.961944444444444
91	coverage	0.001	20	0.956111111111111	0.956111111111111	0.956111111111111	0.956111111111111
91	coverage	0.01	20	0.0330555555555556	0.0330555555555556	0.0330555555555556	0.0330555555555556
91	mean	0	20	0.958055555555556	0.958055555555556	0.958055555555556	0.958055555555556
91	mean	0.001	20	0.955	0.955	0.955	0.955
91	mean	0.01	20	0.0330555555555556	0.0330555555555556	0.0330555555555556	0.0330555555555556
91	median	0	20	0.961944444444444	0.961944444444444	0.961944444444444	0.961944444444444
91	median	0.001	20	0.928888888888889	0.928888888888889	0.928888888888889	0.928888888888889
91	median	0.01	20	0.218968877644674	0.319444444444444	0.257640118038537	0.257640118038537
95	coverage	0	20	0.899166666666667	0.899166666666667	0.899166666666667	0.899166666666667
95	coverage	0.001	20	0.830555555555556	0.830555555555556	0.830555555555556	0.830555555555555
95	coverage	0.01	20	0	0	0	0
95	mean	0	20	0.898611111111111	0.898611111111111	0.898611111111111	0.898611111111111
95	mean	0.001	20	0.827222222222222	0.827222222222222	0.827222222222222	0.827222222222222
95	mean	0.01	20	0	0	0	0
95	median	0	20	0.400857692662325	0.454166666666667	0.422471068885845	0.422471068885845
95	median	0.001	20	0.434653695612707	0.520833333333333	0.468740925310449	0.468740925310449
95	median	0.01	20	0	0	0	0
99	coverage	0	20	0	0	0	0
99	coverage	0.001	20	0	0	0	0
99	coverage	0.01	20	0	0	0	0
99	mean	0	20	0	0	0	0
99	mean	0.001	20	0	0	0	0
99	mean	0.01	20	0	0	0	0
99	median	0	20	0	0	0	0
99	median	0.001	20	0	0	0	0
99	median	0.01	20	0	0	0	0
