Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,PropReadsDiff,NumReadsNoMapRef,NumReadsNoMapGraph
mg,none,L11,znf-msa,path,100,0.01,-2.00353442841045e-05,-7.69820288926273e-05,1007235,262143,0.260260018764241,26,43133
mg,none,L12,allele-msa,nopath,100,0,-0.000458257022257303,-0.0020562898231731,1027483,228981,0.222856241903759,0,27117
mg,none,L12,allele-msa,nopath,100,0.001,-0.000436522613613242,-0.00187750016748735,1027191,238824,0.23250203710897,0,27409
mg,none,L12,allele-msa,nopath,100,0.01,-0.000281378750174506,-0.00105629459688266,1024319,272861,0.266382835815796,33,30239
mg,none,L12,allele-msa,path,100,0,-0.000345515923467059,-0.00156124819091541,1020946,225943,0.22130749324646,0,33654
mg,none,L12,allele-msa,path,100,0.001,-0.000333288208246724,-0.00144463192398162,1020866,235522,0.230708045913959,0,33734
mg,none,L12,allele-msa,path,100,0.01,-0.000236997169694747,-0.000898056805639686,1019678,269093,0.263899976267018,33,34880
mg,none,L12,allele-msa-dag,nopath,100,0,-0.000651990897022568,-0.00272306242227907,1054600,252506,0.239432960364119,0,0
mg,none,L12,allele-msa-dag,nopath,100,0.001,-0.000641260667551678,-0.00258014284242695,1054600,262107,0.248536886023137,0,0
mg,none,L12,allele-msa-dag,nopath,100,0.01,-0.000552896780385656,-0.0019720487649769,1054412,295622,0.280366687784282,33,146
mg,none,L12,allele-msa-dag,path,100,0,-0.000651990897022568,-0.00272306242227907,1054600,252506,0.239432960364119,0,0
mg,none,L12,allele-msa-dag,path,100,0.001,-0.000641260667551678,-0.00258014284242695,1054600,262107,0.248536886023137,0,0
mg,none,L12,allele-msa-dag,path,100,0.01,-0.000552896780385656,-0.0019720487649769,1054412,295622,0.280366687784282,33,146
mg,none,L12,stacked,nopath,100,0,-4.61818699032809e-05,-0.000204192573275699,1054600,238517,0.226168215437133,0,0
mg,none,L12,stacked,nopath,100,0.001,-4.38816612933814e-05,-0.000186444597539996,1054600,248211,0.235360326190025,0,0
mg,none,L12,stacked,nopath,100,0.01,-4.21344009953381e-05,-0.000157121892051502,1054516,282783,0.268163783195324,33,39
mg,none,L12,stacked,path,100,0,-4.61818699032809e-05,-0.000204192573275699,1054600,238517,0.226168215437133,0,0
mg,none,L12,stacked,path,100,0.001,-4.38816612933814e-05,-0.000186444597539996,1054600,248211,0.235360326190025,0,0
mg,none,L12,stacked,path,100,0.01,-4.21344009953381e-05,-0.000157121892051502,1054516,282783,0.268163783195324,33,39
mg,none,L12,znf-loop,nopath,100,0,-0.000880254598900057,-0.00555735050256521,1054600,167043,0.158394652000759,0,0
mg,none,L12,znf-loop,nopath,100,0.001,-0.000861634991119848,-0.00529768079102633,1054599,171524,0.162643810585825,0,1
mg,none,L12,znf-loop,nopath,100,0.01,-0.000694224166710927,-0.0039181719883307,1054376,186815,0.177180626266152,33,196
mg,none,L12,znf-loop,path,100,0,-0.000880254598900057,-0.00555735050256521,1054600,167043,0.158394652000759,0,0
mg,none,L12,znf-loop,path,100,0.001,-0.000861634991119848,-0.00529768079102633,1054599,171524,0.162643810585825,0,1
mg,none,L12,znf-loop,path,100,0.01,-0.000694224166710927,-0.0039181719883307,1054376,186815,0.177180626266152,33,196
mg,none,L12,znf-msa,nopath,100,0,-4.04103788646555e-05,-0.000191829933061563,1008434,212434,0.21065731619521,0,46166
mg,none,L12,znf-msa,nopath,100,0.001,-3.64733370092546e-05,-0.000164867893741203,1008364,223078,0.221227651919347,0,46236
mg,none,L12,znf-msa,nopath,100,0.01,-1.16889793593119e-05,-4.48497519030918e-05,1007573,262599,0.260625284718824,33,46982
mg,none,L12,znf-msa,path,100,0,-4.04103788646555e-05,-0.000191829933061563,1008434,212434,0.21065731619521,0,46166
mg,none,L12,znf-msa,path,100,0.001,-3.64733370092546e-05,-0.000164867893741203,1008364,223078,0.221227651919347,0,46236
mg,none,L12,znf-msa,path,100,0.01,-1.16889793593119e-05,-4.48497519030918e-05,1007573,262599,0.260625284718824,33,46982
mg,none,L13,allele-msa,nopath,100,0,-0.000426675097276265,-0.00192056291651706,1028000,228382,0.222161478599222,0,26600
mg,none,L13,allele-msa,nopath,100,0.001,-0.000408141062444654,-0.00175953248954352,1027630,238369,0.231959946673414,0,26970
mg,none,L13,allele-msa,nopath,100,0.01,-0.000262169058824333,-0.000983049042072666,1024389,273194,0.26668970478988,25,30179
mg,none,L13,allele-msa,path,100,0,-0.000395208537472334,-0.00178426155899485,1021567,226274,0.22149697474566,0,33033
mg,none,L13,allele-msa,path,100,0.001,-0.000380497043389724,-0.0016473034831775,1021440,235934,0.230981751253133,0,33160
mg,none,L13,allele-msa,path,100,0.01,-0.000262810018637639,-0.000993188933638139,1019979,269899,0.264612310645611,25,34589
mg,none,L13,allele-msa-dag,nopath,100,0,-0.000792734110311123,-0.00330352553463891,1054599,253068,0.239966091376912,0,1
mg,none,L13,allele-msa-dag,nopath,100,0.001,-0.000781442828763649,-0.00313499560624332,1054595,262873,0.249264409560068,0,5
mg,none,L13,allele-msa-dag,nopath,100,0.01,-0.000669512309649365,-0.00237917343670993,1054173,296650,0.281405423967413,25,395
mg,none,L13,allele-msa-dag,path,100,0,-0.000792734110311123,-0.00330352553463891,1054599,253068,0.239966091376912,0,1
mg,none,L13,allele-msa-dag,path,100,0.001,-0.000781442828763649,-0.00313499560624332,1054595,262873,0.249264409560068,0,5
mg,none,L13,allele-msa-dag,path,100,0.01,-0.000669512309649365,-0.00237917343670993,1054173,296650,0.281405423967413,25,395
mg,none,L13,stacked,nopath,100,0,2.5226436563626e-05,0.000108357398001784,1054600,245519,0.232807699601745,0,0
mg,none,L13,stacked,nopath,100,0.001,2.5240849611227e-05,0.000104239846806311,1054600,255363,0.242142044377015,0,0
mg,none,L13,stacked,nopath,100,0.01,2.43419623967675e-05,8.86503268763879e-05,1054537,289559,0.274584011751129,25,28
mg,none,L13,stacked,path,100,0,2.5226436563626e-05,0.000108357398001784,1054600,245519,0.232807699601745,0,0
mg,none,L13,stacked,path,100,0.001,2.5240849611227e-05,0.000104239846806311,1054600,255363,0.242142044377015,0,0
mg,none,L13,stacked,path,100,0.01,2.43419623967675e-05,8.86503268763879e-05,1054537,289559,0.274584011751129,25,28
mg,none,L13,znf-loop,nopath,100,0,-0.000763845818319742,-0.00481202241284557,1054600,167404,0.158736961881282,0,0
mg,none,L13,znf-loop,nopath,100,0.001,-0.000748719230039826,-0.00459734906929217,1054600,171751,0.162858903849801,0,0
mg,none,L13,znf-loop,nopath,100,0.01,-0.000594005375681207,-0.00335948913527402,1054378,186429,0.17681419756482,25,203
mg,none,L13,znf-loop,path,100,0,-0.000763845818319742,-0.00481202241284557,1054600,167404,0.158736961881282,0,0
mg,none,L13,znf-loop,path,100,0.001,-0.000748719230039826,-0.00459734906929217,1054600,171751,0.162858903849801,0,0
mg,none,L13,znf-loop,path,100,0.01,-0.000594005375681207,-0.00335948913527402,1054378,186429,0.17681419756482,25,203
mg,none,L13,znf-msa,nopath,100,0,-5.27779705615826e-05,-0.000252382893988242,1008614,210920,0.209118651932256,0,45986
mg,none,L13,znf-msa,nopath,100,0.001,-4.82267717409841e-05,-0.000219205999396094,1008556,221889,0.220006623330782,0,46044
mg,none,L13,znf-msa,nopath,100,0.01,-1.97164902420728e-05,-7.57566052842274e-05,1007796,262290,0.260261005203434,25,46770
mg,none,L13,znf-msa,path,100,0,-5.27779705615826e-05,-0.000252382893988242,1008614,210920,0.209118651932256,0,45986
mg,none,L13,znf-msa,path,100,0.001,-4.82267717409841e-05,-0.000219205999396094,1008556,221889,0.220006623330782,0,46044
mg,none,L13,znf-msa,path,100,0.01,-1.97164902420728e-05,-7.57566052842274e-05,1007796,262290,0.260261005203434,25,46770
mg,none,L14,allele-msa,nopath,100,0,-0.000384615264100488,-0.00172135923606516,1021259,228187,0.223436953799183,0,37541
mg,none,L14,allele-msa,nopath,100,0.001,-0.000372955118117176,-0.00160379511755516,1021147,237463,0.232545363204318,1,37652
mg,none,L14,allele-msa,nopath,100,0.01,-0.000264319010825228,-0.000996179188978444,1019840,270597,0.265332797301537,19,38935
mg,none,L14,allele-msa,path,100,0,-0.000402591937304726,-0.00180078745330244,1021321,228331,0.223564383773564,0,37479
mg,none,L14,allele-msa,path,100,0.001,-0.000389637036282662,-0.00167475030199464,1021204,237587,0.232653808641564,1,37595
mg,none,L14,allele-msa,path,100,0.01,-0.000270699528352765,-0.00102019001936409,1019830,270604,0.265342262926174,19,38945
mg,none,L14,allele-msa-dag,nopath,100,0,-0.000743933592621067,-0.00305395238833747,1058798,257920,0.243596984505071,0,2
mg,none,L14,allele-msa-dag,nopath,100,0.001,-0.000730390720702086,-0.00289345600670488,1058787,267268,0.252428486560564,1,12
mg,none,L14,allele-msa-dag,nopath,100,0.01,-0.000606666717062574,-0.00213465541088694,1058287,300764,0.284198898786435,19,488
mg,none,L14,allele-msa-dag,path,100,0,-0.000743933592621067,-0.00305395238833747,1058798,257920,0.243596984505071,0,2
mg,none,L14,allele-msa-dag,path,100,0.001,-0.000730390720702086,-0.00289345600670488,1058787,267268,0.252428486560564,1,12
mg,none,L14,allele-msa-dag,path,100,0.01,-0.000606666717062574,-0.00213465541088694,1058287,300764,0.284198898786435,19,488
mg,none,L14,stacked,nopath,100,0,0.0001075168114847,0.000447977899943727,1058800,254117,0.240004722327163,0,0
mg,none,L14,stacked,nopath,100,0.001,0.000108132421734437,0.00043384375781552,1058799,263898,0.249242774124267,1,0
mg,none,L14,stacked,nopath,100,0.01,9.64725183802694e-05,0.000341979495901859,1058744,298672,0.282100299978087,19,29
mg,none,L14,stacked,path,100,0,0.0001075168114847,0.000447977899943727,1058800,254117,0.240004722327163,0,0
mg,none,L14,stacked,path,100,0.001,0.000108132421734437,0.00043384375781552,1058799,263898,0.249242774124267,1,0
mg,none,L14,stacked,path,100,0.01,9.64725183802694e-05,0.000341979495901859,1058744,298672,0.282100299978087,19,29
mg,none,L14,znf-loop,nopath,100,0,-0.000809145919909331,-0.00497100972473657,1058800,172344,0.162772950510011,0,0
mg,none,L14,znf-loop,nopath,100,0.001,-0.000789725811981311,-0.00473270940756295,1058799,176677,0.166865476827991,1,0
mg,none,L14,znf-loop,nopath,100,0.01,-0.000616822142093992,-0.0034200871578374,1058581,190918,0.180352755244993,19,203
mg,none,L14,znf-loop,path,100,0,-0.000809145919909331,-0.00497100972473657,1058800,172344,0.162772950510011,0,0
mg,none,L14,znf-loop,path,100,0.001,-0.000789725811981311,-0.00473270940756295,1058799,176677,0.166865476827991,1,0
mg,none,L14,znf-loop,path,100,0.01,-0.000616822142093992,-0.0034200871578374,1058581,190918,0.180352755244993,19,203
mg,none,L14,znf-msa,nopath,100,0,-4.56765918115571e-05,-0.000217030049147343,1008348,212219,0.210462062700576,0,50452
mg,none,L14,znf-msa,nopath,100,0.001,-4.26818092557439e-05,-0.000193089044230476,1008282,222878,0.221047286374248,1,50517
mg,none,L14,znf-msa,nopath,100,0.01,-1.70020277492975e-05,-6.52016199633072e-05,1007521,262722,0.260760817888659,19,51252
mg,none,L14,znf-msa,path,100,0,-4.56765918115571e-05,-0.000217030049147343,1008348,212219,0.210462062700576,0,50452
mg,none,L14,znf-msa,path,100,0.001,-4.26818092557439e-05,-0.000193089044230476,1008282,222878,0.221047286374248,1,50517
mg,none,L14,znf-msa,path,100,0.01,-1.70020277492975e-05,-6.52016199633072e-05,1007521,262722,0.260760817888659,19,51252
mg,none,L16,allele-msa,nopath,100,0,-0.000401405525195011,-0.00181126874406484,1021611,226405,0.221615663887722,0,32989
mg,none,L16,allele-msa,nopath,100,0.001,-0.000388030578471135,-0.00167938175778734,1021503,236024,0.231055611192527,0,33097
mg,none,L16,allele-msa,nopath,100,0.01,-0.000278544176982406,-0.00105241372158312,1020124,269998,0.264671745787767,26,34441
mg,none,L16,allele-msa,path,100,0,-0.000422513091567562,-0.00190394497152863,1021650,226719,0.221914549992659,0,32950
mg,none,L16,allele-msa,path,100,0.001,-0.000407683610399222,-0.00176240901550545,1021538,236304,0.231321791259845,0,33062
mg,none,L16,allele-msa,path,100,0.01,-0.000285755696829186,-0.00107941958466643,1020085,270048,0.264730880269781,26,34480
mg,none,L16,allele-msa-dag,nopath,100,0,-0.000732125101578894,-0.00302691098409114,1054599,255078,0.24187202908404,0,1
mg,none,L16,allele-msa-dag,nopath,100,0.001,-0.00072190683084929,-0.00287537437729678,1054598,264773,0.251065334847971,0,2
mg,none,L16,allele-msa-dag,nopath,100,0.01,-0.000620708474261184,-0.00219061528213402,1054322,298741,0.283348919969421,26,243
mg,none,L16,allele-msa-dag,path,100,0,-0.000732125101578894,-0.00302691098409114,1054599,255078,0.24187202908404,0,1
