Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,NumReadsYesMapRef,NumReadsYesMapGraph,NumReadsSpurious,TotalZnfReads,NumReadsNoMapGraph,NumReadsNoMapRef,PropReadsDiff,PropReadsDiffTotal,PropReadsNoMapRef,PropReadsNoMapGraph,PropReadsYesMapRef,PropReadsYesMapGraph,PropReadsSpuriousTotal
vg,frag,L24,znf-msa,path,100,0,0.00472678040052434,0.013669341449917,104513,36140,104889,104513,1,104890,376,0,0.34579430310105,0.344551434836495,0,0.0035847077891124,0.999990466202688,0.996405758413576,9.53379731146916e-06
vg,none,L24,allele-msa-dag,nopath,100,0,0.00480331219972813,0.0126316651203406,96371,36646,104890,96371,0,104890,8519,0,0.38025962167042,0.349375536276099,0,0.0812184192964058,1,0.918781580703594,0
vg,none,L24,allele-msa-dag,path,100,0,0.00470289288506646,0.0135950937155458,104878,36280,104889,104878,1,104890,11,0,0.345925742291043,0.345886166460101,0,0.000104871770426161,0.999990466202688,0.999885594432262,9.53379731146916e-06
vg,none,L24,stacked,nopath,100,0,0.00472962150824673,0.01367279442163,104890,36283,104890,104890,0,104890,0,0,0.345914767852035,0.345914767852035,0,0,1,1,0
vg,none,L24,stacked,path,100,0,0.00468604008161242,0.0136319511856885,104886,36055,104889,104886,1,104890,3,0,0.343754171195393,0.34374106206502,0,2.86013919344075e-05,0.999990466202688,0.999961864810754,9.53379731146916e-06
vg,none,L24,znf-loop,nopath,100,0,0.00497248203061562,0.0136697348839773,99753,36286,104890,99753,0,104890,5137,0,0.363758483454132,0.34594336924397,0,0.0489751167890171,1,0.951024883210983,0
vg,none,L24,znf-loop,path,100,0,0.00468674618384295,0.013518508332875,104883,36362,104889,104883,1,104890,6,0,0.346691074816701,0.346667937839642,0,5.72027838688149e-05,0.999990466202688,0.99993326341882,9.53379731146916e-06
vg,none,L24,znf-msa,nopath,100,0,0.00506714303314032,0.0136678574395614,97404,36111,104890,97404,0,104890,7486,0,0.370734261426635,0.344274954714463,0,0.0713700066736581,1,0.928629993326342,0
vg,none,L24,znf-msa,path,100,0,0.00472748849183183,0.0136734298447145,104491,36127,104889,104491,1,104890,398,0,0.345742695543157,0.344427495471446,0,0.00379445132996473,0.999990466202688,0.996196014872724,9.53379731146916e-06
vg,fixedfrag,L24,allele-msa,nopath,100,0,0,0,0,0,104890,0,0,104890,104890,0,NA,0,0,1,1,0,0
