Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,MeanDiffPos,MeanDiffNeg,NumReadsPos,NumReadsNeg,PropReadsDiff,PropPos,PropNeg,NumReadsNoMapRef,NumReadsNoMapGraph
mg,none,C,znf-msa,nopath,100,0,6.01446307423631e-05,0.000292050505390998,1008361,207661,0.00733141103385704,-0.00733823257867694,108013,99648,0.205939142826825,0.107117391489754,0.0988217513370707,0,50439
mg,none,C,znf-msa,nopath,100,0.001,6.19655869060052e-05,0.000286211777640349,1008279,218295,0.00717919499832218,-0.00714408727023502,113242,105053,0.216502575180084,0.112312167564732,0.104190407615352,1,50520
mg,none,C,znf-msa,nopath,100,0.01,8.53111398950874e-05,0.000331734446944581,1007505,259097,0.00742587140236384,-0.00715122330343477,133004,126093,0.257166961950561,0.132013240629079,0.125153721321482,29,51256
mg,none,C,znf-msa,path,100,0,6.01446307423631e-05,0.000292050505390998,1008361,207661,0.00733141103385704,-0.00733823257867694,108013,99648,0.205939142826825,0.107117391489754,0.0988217513370707,0,50439
mg,none,C,znf-msa,path,100,0.001,6.19655869060052e-05,0.000286211777640349,1008279,218295,0.00717919499832218,-0.00714408727023502,113242,105053,0.216502575180084,0.112312167564732,0.104190407615352,1,50520
mg,none,C,znf-msa,path,100,0.01,8.53111398950874e-05,0.000331734446944581,1007505,259097,0.00742587140236384,-0.00715122330343477,133004,126093,0.257166961950561,0.132013240629079,0.125153721321482,29,51256
mg,none,D,allele-msa,nopath,100,0,-0.000458367175506466,-0.00207692250083702,1028549,226996,0.00723404691266457,-0.0105066260408273,107860,119136,0.220695367940662,0.104866175554106,0.115829192386556,0,30251
mg,none,D,allele-msa,nopath,100,0.001,-0.000430529393228528,-0.00187146396320222,1028196,236536,0.00709022356249668,-0.0100796781091545,113078,123458,0.230049523631681,0.109977086080864,0.120072437550817,0,30604
mg,none,D,allele-msa,nopath,100,0.01,-0.000240480337201985,-0.000910687959326192,1024905,270641,0.00739688046032416,-0.00891159975338193,132776,137865,0.264064474268347,0.129549568008742,0.134514906259605,33,33852
mg,none,D,allele-msa,path,100,0,-0.000338757658547472,-0.00154556782249853,1021571,223908,0.00722594435248387,-0.00965077852441267,107534,116374,0.219180066779499,0.105263363975681,0.113916702803819,0,37229
mg,none,D,allele-msa,path,100,0.001,-0.000322215151518118,-0.00141129611841992,1021429,233204,0.00708039480944837,-0.00930654634824487,112358,120846,0.228311512596568,0.11000079300666,0.118310719589908,0,37371
mg,none,D,allele-msa,path,100,0.01,-0.00020441698122457,-0.000781838056346162,1019950,266673,0.00732112046493084,-0.00853883959044369,130428,136245,0.261456934163439,0.127876856708662,0.133580077454777,33,38807
mg,none,D,allele-msa-dag,nopath,100,0,-0.000887168858300773,-0.00366892752241977,1058799,256024,0.00718493198155372,-0.0121824304263282,112543,143481,0.241806046284517,0.106293073567315,0.135512972717201,0,1
mg,none,D,allele-msa-dag,nopath,100,0.001,-0.000875780838271323,-0.00349183784903316,1058798,265555,0.00705511857353606,-0.0118326861605276,117269,148286,0.2508079917038,0.110756726023283,0.140051265680517,0,2
mg,none,D,allele-msa-dag,nopath,100,0.01,-0.00075915287097207,-0.00267991028099725,1058422,299825,0.00731051200390154,-0.0108991391783287,135331,164494,0.283275479912549,0.127861098881165,0.155414381031384,33,335
mg,none,D,allele-msa-dag,path,100,0,-0.000887168858300773,-0.00366892752241977,1058799,256024,0.00718493198155372,-0.0121824304263282,112543,143481,0.241806046284517,0.106293073567315,0.135512972717201,0,1
mg,none,D,allele-msa-dag,path,100,0.001,-0.000875780838271323,-0.00349183784903316,1058798,265555,0.00705511857353606,-0.0118326861605276,117269,148286,0.2508079917038,0.110756726023283,0.140051265680517,0,2
mg,none,D,allele-msa-dag,path,100,0.01,-0.00075915287097207,-0.00267991028099725,1058422,299825,0.00731051200390154,-0.0108991391783287,135331,164494,0.283275479912549,0.127861098881165,0.155414381031384,33,335
mg,none,D,stacked,nopath,100,0,2.61697204382319e-05,0.000117852843975824,1058800,235111,0.00746098036916686,-0.0074598978454199,119404,115707,0.222054212315829,0.112772950510011,0.109281261805818,0,0
mg,none,D,stacked,nopath,100,0.001,2.69743105402342e-05,0.000116520270408101,1058800,245111,0.00727961178325504,-0.00725488373248123,124312,120799,0.231498866641481,0.117408386853041,0.11409047978844,0,0
mg,none,D,stacked,nopath,100,0.01,2.8656450537348e-05,0.000107891152591918,1058718,281201,0.00722694252065389,-0.0071775903753166,142225,138976,0.265605194206578,0.134337000032114,0.131268194174464,33,39
mg,none,D,stacked,path,100,0,2.61697204382319e-05,0.000117852843975824,1058800,235111,0.00746098036916686,-0.0074598978454199,119404,115707,0.222054212315829,0.112772950510011,0.109281261805818,0,0
mg,none,D,stacked,path,100,0.001,2.69743105402342e-05,0.000116520270408101,1058800,245111,0.00727961178325504,-0.00725488373248123,124312,120799,0.231498866641481,0.117408386853041,0.11409047978844,0,0
mg,none,D,stacked,path,100,0.01,2.8656450537348e-05,0.000107891152591918,1058718,281201,0.00722694252065389,-0.0071775903753166,142225,138976,0.265605194206578,0.134337000032114,0.131268194174464,33,39
mg,none,D,znf-loop,nopath,100,0,-0.000857736871930487,-0.0054126469869537,1058800,167787,0.00742536889393966,-0.0118986839508388,56317,111470,0.158469021533812,0.0531894597657726,0.105279561768039,0,0
mg,none,D,znf-loop,nopath,100,0.001,-0.000838591613146959,-0.00511625687861938,1058800,173545,0.00721914154488518,-0.0116138550189144,59875,113670,0.163907253494522,0.0565498677748394,0.107357385719683,0,0
mg,none,D,znf-loop,nopath,100,0.01,-0.000661559266505377,-0.0035854904691444,1058549,195313,0.00750680408034494,-0.0106620248069037,76072,119241,0.18451011715093,0.0718644106224653,0.112645706528465,33,226
mg,none,D,znf-loop,path,100,0,-0.000857736871930487,-0.0054126469869537,1058800,167787,0.00742536889393966,-0.0118986839508388,56317,111470,0.158469021533812,0.0531894597657726,0.105279561768039,0,0
mg,none,D,znf-loop,path,100,0.001,-0.000838591613146959,-0.00511625687861938,1058800,173545,0.00721914154488518,-0.0116138550189144,59875,113670,0.163907253494522,0.0565498677748394,0.107357385719683,0,0
mg,none,D,znf-loop,path,100,0.01,-0.000661559266505377,-0.0035854904691444,1058549,195313,0.00750680408034494,-0.0106620248069037,76072,119241,0.18451011715093,0.0718644106224653,0.112645706528465,33,226
mg,none,D,znf-msa,nopath,100,0,5.29270220757799e-05,0.000256501278624853,1008209,208036,0.0073354694195559,-0.00735871166011455,107814,100222,0.206342137394132,0.106936161053908,0.0994059763402231,0,50591
mg,none,D,znf-msa,nopath,100,0.001,5.58725066880128e-05,0.000257426271988154,1008147,218811,0.00718676467988047,-0.00715815964502304,113114,105697,0.217042752693804,0.112199907354781,0.104842845339023,0,50653
mg,none,D,znf-msa,nopath,100,0.01,7.5717381442337e-05,0.000293912222564735,1007379,259520,0.00741971980487217,-0.00717793722964226,132836,126684,0.257619029183654,0.131862983048088,0.125756046135566,33,51378
